Source,Station,Latitude,Longitude,Region,SubRegion,YearAdj,Season,Month,Date,Datetime,Chlorophyll_Sign,Chlorophyll
EMP,D11,38.04229,-121.7995,Confluence,Lower Sacramento River,1975,Winter,1,1975-01-07,1975-01-07 13:00:00,=,1.24
EMP,D15,38.05217,-121.6896,Confluence,San Joaquin River at Twitchell Island,1975,Winter,1,1975-01-07,1975-01-07 14:00:00,=,1.11
EMP,D16,38.0969,-121.6691,Confluence,San Joaquin River at Twitchell Island,1975,Winter,1,1975-01-07,1975-01-07 16:00:00,=,1.11
EMP,D19,38.04376,-121.6148,SouthCentral,Franks Tract,1975,Winter,1,1975-01-07,1975-01-07 15:00:00,=,1.17
EMP,D22,38.08453,-121.7391,Confluence,Sacramento River near Rio Vista,1975,Winter,1,1975-01-07,1975-01-07 13:00:00,=,0.86
EMP,D24,38.15778,-121.6847,Confluence,Sacramento River near Rio Vista,1975,Winter,1,1975-01-07,1975-01-07 14:00:00,=,1.05
EMP,D26,38.07664,-121.5669,Confluence,San Joaquin River at Prisoners Pt,1975,Winter,1,1975-01-07,1975-01-07 15:00:00,=,1.24
EMP,D4,38.06248,-121.8205,Confluence,Lower Sacramento River,1975,Winter,1,1975-01-07,1975-01-07 12:00:00,=,1.05
EMP,D10,38.04631,-121.9183,Confluence,Confluence,1975,Winter,1,1975-01-08,1975-01-08 13:00:00,=,1.17
EMP,D12,38.02161,-121.8063,Confluence,Lower San Joaquin River,1975,Winter,1,1975-01-08,1975-01-08 14:00:00,=,0.99
EMP,D14A,38.01776,-121.7114,Confluence,Lower San Joaquin River,1975,Winter,1,1975-01-08,1975-01-08 14:00:00,=,1.36
EMP,D2,38.06544,-122.0545,Suisun Bay,Mid Suisun Bay,1975,Winter,1,1975-01-08,1975-01-08 12:00:00,=,1.36
EMP,D6,38.04436,-122.1177,Suisun Bay,West Suisun Bay,1975,Winter,1,1975-01-08,1975-01-08 12:00:00,=,0.86
EMP,D7,38.11714,-122.0397,Suisun Bay,Grizzly Bay,1975,Winter,1,1975-01-08,1975-01-08 11:00:00,=,1.24
EMP,D8,38.05992,-121.99,Suisun Bay,Mid Suisun Bay,1975,Winter,1,1975-01-08,1975-01-08 13:00:00,=,1.17
EMP,D9,38.07244,-121.9392,Suisun Bay,Honker Bay,1975,Winter,1,1975-01-08,1975-01-08 11:00:00,=,1.17
EMP,MD10,38.04381,-121.4188,SouthCentral,Disappointment Slough,1975,Winter,1,1975-01-21,1975-01-21 14:00:00,=,3.15
EMP,C3,38.34575,-121.5461,North,Middle Sacramento River,1975,Winter,1,1975-01-22,1975-01-22 12:00:00,=,2.22
EMP,C9,37.83095,-121.554,SouthCentral,Victoria Canal,1975,Winter,1,1975-01-22,1975-01-22 16:00:00,=,1.61
EMP,P12,37.80472,-121.45,SouthCentral,Grant Line Canal and Old River,1975,Winter,1,1975-01-22,1975-01-22 15:00:00,=,5
EMP,D28A,37.97048,-121.573,SouthCentral,Old River,1975,Winter,2,1975-02-03,1975-02-03 14:00:00,=,1.85
EMP,MD10,38.04381,-121.4188,SouthCentral,Disappointment Slough,1975,Winter,2,1975-02-03,1975-02-03 13:00:00,=,7.1
EMP,P8,37.97817,-121.3823,SouthCentral,San Joaquin River near Stockton,1975,Winter,2,1975-02-03,1975-02-03 12:00:00,=,20.38
EMP,C3,38.34575,-121.5461,North,Middle Sacramento River,1975,Winter,2,1975-02-04,1975-02-04 12:00:00,=,3.46
EMP,C9,37.83095,-121.554,SouthCentral,Victoria Canal,1975,Winter,2,1975-02-04,1975-02-04 16:00:00,=,2.28
EMP,P12,37.80472,-121.45,SouthCentral,Grant Line Canal and Old River,1975,Winter,2,1975-02-04,1975-02-04 15:00:00,=,14.2
EMP,D11,38.04229,-121.7995,Confluence,Lower Sacramento River,1975,Winter,2,1975-02-05,1975-02-05 12:00:00,=,2.22
EMP,D15,38.05217,-121.6896,Confluence,San Joaquin River at Twitchell Island,1975,Winter,2,1975-02-05,1975-02-05 14:00:00,=,1.98
